agency_name,response_count,agency_name_display,most_helpful_top_words,most_helpful_top_bigrams,least_helpful_top_words,least_helpful_top_bigrams
bozeman health deaconess regional medical center,5,Bozeman Health Deaconess Regional Medical Center,work:3 | resource:2 | linkage:2 | taught:2 | assessment:2 | helped:2 | community:2 | translate:1 | practical:1 | support:1 | reinforced:1 | person:1 | environment:1 | perspective:1 | risk:1 | connect:1 | class:1 | content:1 | practice:1 | appreciated:1,resource linkage:2 | linkage taught:1 | taught translate:1 | translate assessment:1 | assessment practical:1 | practical support:1 | support reinforced:1 | reinforced person:1 | person environment:1 | environment perspective:1 | helped work:1 | work resource:1 | linkage risk:1 | risk assessment:1 | assessment connect:1,one:4 | frustration:3 | practice:2 | working:2 | crisis:2 | work:2 | benefited:1 | clearer:1 | orientation:1 | defined:1 | project:1 | timelines:1 | liked:1 | consistency:1 | early:1 | wanted:1 | direct:1 | instead:1 | mostly:1 | observation:1,benefited clearer:1 | clearer orientation:1 | orientation defined:1 | defined project:1 | project timelines:1 | frustration liked:1 | liked consistency:1 | consistency early:1 | frustration wanted:1 | wanted direct:1 | direct practice:1 | practice instead:1 | instead mostly:1 | mostly observation:1 | one downside:1
bozeman school district 7,11,Bozeman School District 7,staff:3 | guidance:3 | students:3 | one:3 | systems:3 | work:3 | helped:3 | team:3 | approach:2 | real:2 | wanted:2 | seeing:2 | based:2 | practice:2 | setting:2 | support:2 | learning:2 | experience:2 | long:2 | understand:2,wanted guidance:2 | appreciated trauma:1 | trauma informed:1 | informed approach:1 | approach staff:1 | staff talked:1 | talked real:1 | real cases:1 | cases wanted:1 | seeing strengths:1 | strengths based:1 | based practice:1 | practice modeled:1 | modeled consistently:1 | meeting students:1,work:3 | wanted:2 | client:2 | contact:2 | shadowing:2 | paperwork:2 | first:2 | weeks:2 | unstructured:2 | needed:2 | students:2 | than:2 | long:2 | care:2 | term:2 | less:1 | times:1 | balance:1 | administrative:1 | navigating:1,client contact:2 | first weeks:2 | weeks unstructured:2 | wanted client:1 | contact less:1 | less shadowing:1 | paperwork times:1 | times wanted:1 | wanted balance:1 | balance administrative:1 | administrative work:1 | work client:1 | navigating logistical:1 | logistical challenges:1 | challenges job:1
bridgercare,7,Bridgercare,work:4 | helped:4 | community:3 | one:3 | confidence:3 | advocacy:2 | resource:2 | working:2 | communities:2 | ways:2 | build:2 | appreciated:1 | real:1 | exposure:1 | outreach:1 | coordination:1 | team:1 | worked:1 | good:1 | receiving:1,advocacy community:2 | helped build:2 | build confidence:2 | appreciated real:1 | real exposure:1 | exposure advocacy:1 | community outreach:1 | outreach resource:1 | resource coordination:1 | team worked:1 | worked good:1 | good receiving:1 | receiving feedback:1 | feedback came:1 | came working:1,practice:4 | wanted:3 | direct:3 | instead:3 | mostly:3 | observation:3 | hardest:2 | think:2 | too:1 | admin:1 | work:1 | enough:1 | hands:1 | learned:1 | given:1 | opportunities:1 | growth:1 | amount:1 | documentation:1 | required:1,wanted direct:3 | direct practice:3 | practice instead:3 | instead mostly:3 | mostly observation:3 | hardest too:1 | too admin:1 | admin work:1 | think learned:1 | learned given:1 | given opportunities:1 | opportunities growth:1 | hardest wanted:1 | amount documentation:1 | documentation required:1
brighton recovery center,3,Brighton Recovery Center,treatment:2 | documentation:2 | learn:1 | different:1 | modalities:1 | group:1 | work:1 | plans:1 | plan:1 | reviews:1 | experience:1 | working:1 | trauma:1 | informed:1 | therapy:1 | learning:1 | standards:1 | helped:1 | understand:1 | accountability:1,learn different:1 | different modalities:1 | modalities group:1 | group work:1 | work treatment:1 | treatment plans:1 | plans treatment:1 | treatment plan:1 | plan reviews:1 | reviews experience:1 | experience working:1 | working trauma:1 | trauma informed:1 | informed therapy:1 | learning documentation:1,thrown:1 | little:1 | bit:1 | bad:1 | trusted:1 | appreciated:1 | don:1 | know:1 | doing:1 | initially:1 | support:1 | clients:1 | new:1 | concepts:1 | left:1 | own:1 | devices:1 | wish:1 | access:1 | material:1,thrown little:1 | little bit:1 | bit bad:1 | bad trusted:1 | trusted appreciated:1 | appreciated don:1 | don know:1 | know doing:1 | doing initially:1 | initially support:1 | support clients:1 | clients new:1 | new concepts:1 | concepts left:1 | left own:1
bureau of indian affairs,6,Bureau Of Indian Affairs,meetings:3 | included:2 | week:2 | learning:2 | appreciated:2 | helped:1 | case:1 | management:1 | treatment:1 | team:1 | relapse:1 | prevention:1 | work:1 | instead:1 | observing:1 | knowing:1 | assist:1 | complex:1 | cases:1 | situations:1,helped included:1 | included case:1 | case management:1 | management treatment:1 | treatment team:1 | team meetings:1 | meetings relapse:1 | relapse prevention:1 | prevention work:1 | work instead:1 | knowing assist:1 | assist complex:1 | complex cases:1 | cases situations:1 | situations arose:1,work:2 | practice:2 | structure:2 | one:1 | frustration:1 | too:1 | admin:1 | enough:1 | hands:1 | hard:1 | grow:1 | loose:1 | wanted:1 | deepen:1 | understanding:1 | law:1 | order:1 | code:1 | reservation:1 | found:1,frustration too:1 | too admin:1 | admin work:1 | practice hard:1 | hard grow:1 | grow structure:1 | structure loose:1 | wanted deepen:1 | deepen understanding:1 | understanding law:1 | law order:1 | order code:1 | code reservation:1 | reservation work:1 | work found:1
california youth services,9,California Youth Services,support:6 | work:3 | planning:3 | exposure:3 | practice:3 | appreciated:2 | helped:2 | gave:2 | better:2 | case:2 | management:2 | real:2 | documentation:2 | staff:2 | experience:2 | supervision:2 | learning:2 | level:2 | educational:2 | understanding:2,gave better:2 | case management:2 | real exposure:2 | level support:2 | basic questions:2 | appreciated work:1 | work court:1 | court support:1 | support reentry:1 | reentry planning:1 | planning community:1 | community referrals:1 | referrals helped:1 | helped build:1 | build confidence:1,quickly:3 | cys:2 | practicum:2 | schedule:2 | procedures:2 | honestly:1 | one:1 | frustration:1 | onboarding:1 | needed:1 | client:1 | contact:1 | fewer:1 | office:1 | tasks:1 | hard:1 | knowing:1 | meeting:1 | expectations:1 | moved:1,honestly one:1 | frustration onboarding:1 | client contact:1 | contact fewer:1 | fewer office:1 | office tasks:1 | hard knowing:1 | knowing meeting:1 | meeting expectations:1 | quickly moved:1 | moved crisis:1 | crisis periods:1 | workflow changed:1 | changed quickly:1 | quickly planning:1
cameron r-1 school district,19,Cameron R-1 School District,work:7 | helped:7 | systems:5 | practice:5 | community:4 | connected:3 | social:3 | learning:3 | connect:3 | support:3 | care:3 | seeing:3 | outreach:2 | real:2 | planning:2 | groups:2 | working:2 | interdisciplinary:2 | team:2 | understand:2,support groups:2 | working interdisciplinary:2 | interdisciplinary team:2 | team helped:2 | helped understand:2 | understand social:2 | social work:2 | work communicates:2 | communicates within:2 | within larger:2 | larger systems:2 | systems care:2 | build confidence:2 | helped work:2 | connect class:2,one:4 | work:3 | practice:3 | occasionally:2 | too:2 | admin:2 | enough:2 | hands:2 | continuity:2 | needed:2 | clearer:2 | harder:2 | busy:2 | difficult:2 | meet:2 | frequent:1 | changes:1 | agency:1 | needs:1 | interrupted:1,too admin:2 | admin work:2 | meet one:2 | one one:2 | frequent changes:1 | changes agency:1 | agency needs:1 | needs occasionally:1 | occasionally interrupted:1 | interrupted learning:1 | learning flow:1 | documentation important:1 | important occasionally:1 | occasionally overshadowed:1 | overshadowed client:1
casa for children,20,Casa For Children,work:7 | practice:6 | see:6 | documentation:5 | community:4 | appreciated:4 | supervision:4 | learning:4 | practicum:4 | included:3 | instead:3 | observing:3 | intervention:3 | coordination:3 | helped:3 | understand:3 | real:3 | learned:3 | meetings:3 | biggest:2,helped understand:3 | see assessment:2 | assessment intervention:2 | intervention evaluation:2 | evaluation work:2 | work together:2 | close helped:2 | understand policy:2 | policy practice:2 | practice better:2 | real life:2 | take information:2 | community resources:2 | help included:1 | included community:1,one:4 | frustration:4 | times:4 | practicum:3 | paperwork:3 | work:3 | too:3 | every:2 | experience:2 | shadowing:2 | structure:2 | liked:2 | supervisor:2 | went:2 | social:2 | learning:2 | hard:2 | ethical:2 | concerns:2 | observed:2,times too:2 | frustration workflow:1 | workflow changed:1 | changed quickly:1 | quickly planning:1 | planning harder:1 | honestly pinpoint:1 | pinpoint wasn:1 | wasn gain:1 | gain here:1 | here every:1 | every experience:1 | experience contributes:1 | contributes growth:1 | hardest shadowing:1
cascade academy,7,Cascade Academy,work:3 | therapists:2 | shadow:2 | practice:2 | strengths:2 | placement:2 | gave:2 | having:1 | team:1 | learn:1 | ask:1 | questions:1 | able:1 | multiple:1 | learned:1 | crisis:1 | structure:1 | uneven:1 | times:1 | iep:1,having team:1 | team therapists:1 | therapists learn:1 | learn shadow:1 | shadow ask:1 | ask questions:1 | able shadow:1 | shadow multiple:1 | multiple therapists:1 | learned crisis:1 | crisis work:1 | work structure:1 | structure uneven:1 | uneven times:1 | work iep:1,educational:2 | difficult:2 | work:1 | specific:1 | population:1 | cannot:1 | think:1 | wasn:1 | liked:1 | consistent:1 | structure:1 | early:1 | wanted:1 | direct:1 | practice:1 | instead:1 | mostly:1 | observation:1 | call:1 | demands:1,work specific:1 | specific population:1 | cannot think:1 | think wasn:1 | wasn educational:1 | liked consistent:1 | consistent structure:1 | structure early:1 | wanted direct:1 | direct practice:1 | practice instead:1 | instead mostly:1 | mostly observation:1 | call demands:1 | demands educational:1
catalyst mt,8,Catalyst Mt,helped:6 | work:3 | case:2 | management:2 | gave:2 | better:2 | sense:2 | build:2 | confidence:2 | understand:2 | role:2 | learn:1 | crisis:1 | support:1 | debrief:1 | advocacy:1 | supervision:1 | check:1 | ins:1 | super:1,case management:2 | gave better:2 | better sense:2 | build confidence:2 | helped learn:1 | learn case:1 | management crisis:1 | crisis support:1 | support debrief:1 | debrief gave:1 | sense advocacy:1 | supervision check:1 | check ins:1 | ins super:1 | super productive:1,needed:2 | student:2 | work:2 | week:2 | hardest:1 | client:1 | contact:1 | fewer:1 | office:1 | tasks:1 | data:1 | entry:1 | believed:1 | everything:1 | practicum:1 | educational:1 | capacity:1 | extremely:1 | disorganized:1 | staff:1,hardest needed:1 | client contact:1 | contact fewer:1 | fewer office:1 | office tasks:1 | data entry:1 | entry believed:1 | believed everything:1 | everything practicum:1 | practicum educational:1 | educational capacity:1 | extremely disorganized:1 | disorganized staff:1 | staff unsure:1 | unsure roles:1
catholic charities,4,Catholic Charities,learned:3 | intake:3 | learning:2 | issues:2 | site:2 | resource:2 | referrals:2 | coordinators:2 | able:2 | parts:1 | placement:1 | enough:1 | follow:1 | supervision:1 | actually:1 | happened:1 | schedule:1 | biggest:1 | help:1 | youth:1,site learned:2 | learned resource:2 | resource referrals:2 | intake coordinators:2 | parts placement:1 | placement learning:1 | learning enough:1 | enough follow:1 | follow learned:1 | learned supervision:1 | supervision actually:1 | actually happened:1 | happened schedule:1 | help issues:1 | referrals youth:1,onboarding:1 | process:1 | clearer:1 | too:1 | admin:1 | work:1 | enough:1 | hands:1 | practice:1 | communication:1 | slightly:1 | difficult:1 | due:1 | agency:1 | site:1 | caused:1 | miscommunication:1 | end:1 | moved:1 | slower:1,onboarding process:1 | process clearer:1 | too admin:1 | admin work:1 | communication slightly:1 | slightly difficult:1 | difficult due:1 | due agency:1 | agency site:1 | site caused:1 | caused miscommunication:1 | miscommunication end:1 | end moved:1 | moved slower:1 | frustration shadowing:1
cedar creek integrated health,16,Cedar Creek Integrated Health,meetings:8 | work:8 | exposure:6 | community:5 | clients:5 | practice:5 | learned:4 | able:4 | direct:4 | systems:3 | gave:3 | client:3 | resource:3 | strong:3 | rapport:3 | weekly:3 | evaluation:3 | planning:2 | partnerships:2 | field:2,direct practice:3 | evaluation work:3 | work community:2 | community partnerships:2 | community meetings:2 | strong exposure:2 | exposure direct:2 | practice learned:2 | learned build:2 | build rapport:2 | rapport clients:2 | cedar creek:2 | creek weekly:2 | see assessment:2 | assessment intervention:2,agency:4 | times:4 | learning:2 | concerns:2 | onboarding:2 | process:2 | clearer:2 | early:2 | expectations:2 | clear:2 | opportunity:2 | case:2 | too:2 | limited:2 | wanted:1 | clarity:1 | role:1 | goals:1 | cannot:1 | determine:1,onboarding process:2 | process clearer:2 | times expectations:2 | expectations clear:2 | wanted clarity:1 | clarity role:1 | role learning:1 | learning goals:1 | cannot determine:1 | practicum agency:1 | agency structural:1 | structural challenges:1 | challenges lack:1 | lack guidance:1 | guidance support:1
"center for children, families and workforce development",44,"Center For Children, Families And Workforce Development",work:13 | helped:10 | policy:10 | practice:10 | community:9 | planning:9 | systems:8 | see:7 | support:7 | learn:6 | understand:6 | social:6 | research:6 | debrief:5 | help:5 | gave:5 | better:5 | learning:5 | practicum:5 | appreciated:5,helped understand:6 | close helped:4 | understand policy:4 | policy practice:4 | practice better:4 | social work:4 | help learn:3 | case management:3 | treatment planning:3 | systems work:2 | reinforced person:2 | person environment:2 | environment perspective:2 | community referrals:2 | reentry planning:2,practice:5 | weeks:4 | work:4 | supervision:4 | early:4 | projects:4 | learning:3 | hardest:3 | observational:3 | than:3 | active:3 | limited:3 | one:3 | frustration:3 | liked:3 | clearer:3 | experience:3 | documentation:2 | direct:2 | feedback:2,weeks observational:3 | observational than:3 | than active:3 | went paperwork:2 | paperwork instead:2 | instead actual:2 | actual practice:2 | liked consistency:2 | consistency early:2 | minimal guidance:2 | documentation repetitive:1 | repetitive took:1 | took away:1 | away direct:1 | direct learning:1
center for restorative youth justice,19,Center For Restorative Youth Justice,work:5 | resource:5 | appreciated:4 | case:4 | management:4 | gave:4 | learned:4 | navigation:3 | practice:3 | community:3 | school:3 | program:3 | justice:3 | helped:3 | included:3 | planning:3 | support:3 | instead:3 | observing:3 | learning:3,case management:4 | work case:2 | resource navigation:2 | connect class:2 | class content:2 | content practice:2 | placement gave:2 | gave useful:2 | juvenile justice:2 | justice system:2 | included resource:2 | resource coordination:2 | learned supervision:2 | supervision actually:2 | actually happened:2,tasks:5 | fewer:4 | practice:3 | onboarding:3 | needed:3 | direct:2 | weeks:2 | learned:2 | too:2 | than:2 | liked:2 | slow:2 | periods:2 | client:2 | contact:2 | office:2 | structure:2 | wanted:1 | instead:1 | mostly:1,direct practice:2 | slow periods:2 | periods fewer:2 | fewer tasks:2 | client contact:2 | contact fewer:2 | fewer office:2 | office tasks:2 | wanted direct:1 | practice instead:1 | instead mostly:1 | mostly observation:1 | first weeks:1 | weeks unstructured:1 | thought everything:1
