agency_name,agency_name_display,response_count,data_quality,placement_quality_score,recent_placement_score,fit_trend,mean_response_length,recommendation_rate,overall_sentiment_score,mean_competency_score,concern_indicator_count,concern_flag,misalignment_flag,most_helpful_polarity,least_helpful_polarity,strong_supervision_helpful_pct,strong_supervision_least_pct,direct_practice_opportunity_helpful_pct,direct_practice_opportunity_least_pct,administrative_overload_helpful_pct,administrative_overload_least_pct,organizational_structure_helpful_pct,organizational_structure_least_pct,learning_environment_helpful_pct,learning_environment_least_pct,social_justice_alignment_helpful_pct,social_justice_alignment_least_pct,most_helpful_top_words,most_helpful_top_bigrams,least_helpful_top_words,least_helpful_top_bigrams,comp_1_ethical_professional,comp_2_human_rights_justice,comp_3_adei,comp_4_research_informed,comp_5_policy_practice,comp_6_engage,comp_7_assess,comp_8_intervene,comp_9_evaluate,felt_prepared,learning_goals_met,prepared_for_practice,supervision_frequency,supervision_quality,comments_supervisor_polarity,other_comments_polarity,recommend_reason_polarity,agency_competency_1_mean,agency_competency_2_mean,agency_competency_3_mean,agency_competency_4_mean,agency_competency_5_mean,agency_competency_6_mean,agency_competency_7_mean,agency_competency_8_mean,agency_competency_9_mean
hamilton school district 4,Hamilton School District 4,3,sufficient,4.4,,stable,43.0,0.67,0.5677,88.75,2,review recommended,no flag,0.6442,0.3163,33.3,33.3,0.0,0.0,0.0,33.3,33.3,33.3,33.3,33.3,33.3,0.0,meetings:3 | social:3 | workers:3 | helped:2 | understand:2 | student:2 | team:2 | supervision:1 | consistent:1 | included:1 | regular:1 | check:1 | ins:1 | systems:1 | level:1 | decisions:1 | affect:1 | service:1 | delivery:1 | braod:1,social workers:3 | helped understand:2 | supervision consistent:1 | consistent included:1 | included meetings:1 | meetings regular:1 | regular check:1 | check ins:1 | ins systems:1 | systems level:1 | level meetings:1 | meetings helped:1 | understand decisions:1 | decisions affect:1 | affect service:1,classroom:2 | inconsistent:1 | supervision:1 | based:1 | placement:1 | significant:1 | barriers:1 | ability:1 | engage:1 | meaningful:1 | therapeutic:1 | support:1 | students:1 | families:1 | spent:1 | great:1 | deal:1 | observing:1 | correcting:1 | behavior:1,inconsistent supervision:1 | classroom based:1 | based placement:1 | placement significant:1 | significant barriers:1 | barriers ability:1 | ability engage:1 | engage meaningful:1 | meaningful therapeutic:1 | therapeutic support:1 | support students:1 | students families:1 | families spent:1 | spent great:1 | great deal:1,4.67,5.0,5.0,4.33,4.33,4.33,5.0,4.0,3.67,4.33,4.33,4.67,3.67,5.0,0.5451,0.5303,0.8026,89.1,87.6,88.64,88.14,87.32,87.7,91.39,89.69,89.21
planned parenthood of montana,Planned Parenthood Of Montana,11,sufficient,3.24,2.67,declining,22.2,0.73,0.3139,90.33,1,no flag,no flag,0.459,-0.1083,18.2,9.1,45.5,27.3,9.1,36.4,18.2,18.2,54.5,27.3,18.2,0.0,practice:7 | learning:4 | work:3 | intakes:3 | helped:3 | case:3 | clients:3 | feedback:3 | direct:3 | having:2 | build:2 | confidence:2 | appreciated:2 | management:2 | social:2 | gave:2 | structure:2 | ibh:1 | access:1 | plenty:1,direct practice:3 | build confidence:2 | case management:2 | learning ibh:1 | ibh having:1 | having access:1 | access plenty:1 | plenty interprofessional:1 | interprofessional opportunities:1 | opportunities learning:1 | learning system:1 | system works:1 | works getting:1 | getting hands:1 | hands experience:1,practice:4 | work:3 | enough:3 | admin:2 | hands:2 | liked:2 | direct:2 | clients:2 | program:1 | relatively:1 | new:1 | lacks:1 | structure:1 | someone:1 | clinical:1 | experience:1 | bit:1 | learning:1 | curve:1 | impossible:1,admin work:2 | liked direct:2 | program relatively:1 | relatively new:1 | new lacks:1 | lacks structure:1 | structure someone:1 | someone clinical:1 | clinical experience:1 | experience bit:1 | bit learning:1 | learning curve:1 | curve impossible:1 | impossible seemed:1 | seemed lack:1,3.55,3.73,3.73,2.82,3.45,3.18,3.36,3.55,3.09,2.91,3.18,3.36,3.55,3.18,0.3655,0.4122,0.4409,89.98,89.36,89.88,89.27,90.84,90.5,93.96,89.67,89.49
bridgercare,Bridgercare,7,sufficient,3.49,2.9,declining,24.9,0.71,0.2483,90.27,1,no flag,no flag,0.5801,-0.0918,42.9,0.0,14.3,57.1,0.0,14.3,0.0,0.0,57.1,28.6,42.9,0.0,work:4 | helped:4 | community:3 | confidence:3 | advocacy:2 | resource:2 | working:2 | communities:2 | ways:2 | build:2 | appreciated:1 | real:1 | exposure:1 | outreach:1 | coordination:1 | team:1 | worked:1 | good:1 | receiving:1 | feedback:1,advocacy community:2 | helped build:2 | build confidence:2 | appreciated real:1 | real exposure:1 | exposure advocacy:1 | community outreach:1 | outreach resource:1 | resource coordination:1 | team worked:1 | worked good:1 | good receiving:1 | receiving feedback:1 | feedback came:1 | came working:1,practice:4 | wanted:3 | direct:3 | instead:3 | mostly:3 | observation:3 | hardest:2 | think:2 | admin:1 | work:1 | enough:1 | hands:1 | learned:1 | given:1 | opportunities:1 | growth:1 | amount:1 | documentation:1 | required:1 | case:1,wanted direct:3 | direct practice:3 | practice instead:3 | instead mostly:3 | mostly observation:3 | hardest admin:1 | admin work:1 | think learned:1 | learned given:1 | given opportunities:1 | opportunities growth:1 | hardest wanted:1 | amount documentation:1 | documentation required:1 | required case:1,3.43,3.86,4.14,3.57,3.57,3.29,3.57,3.57,3.29,3.29,3.57,3.43,3.57,3.57,0.1614,0.2318,0.3601,87.39,90.28,89.34,91.01,91.5,89.38,93.11,90.33,90.11
prairie hills recovery center,Prairie Hills Recovery Center,4,sufficient,3.5,3.0,declining,20.2,0.75,0.3112,89.1,1,no flag,no flag,0.5905,-0.0813,50.0,25.0,25.0,0.0,0.0,25.0,0.0,25.0,25.0,0.0,25.0,25.0,help:2 | questions:2 | planning:2 | direct:1 | supervisor:1 | provided:1 | space:1 | welcoming:1 | concerns:1 | appreciated:1 | issues:1 | site:1 | learned:1 | data:1 | tracking:1 | community:1 | best:1 | exposure:1 | program:1 | working:1,help direct:1 | direct supervisor:1 | supervisor provided:1 | provided space:1 | space welcoming:1 | welcoming questions:1 | questions concerns:1 | appreciated issues:1 | site learned:1 | learned data:1 | data tracking:1 | tracking community:1 | community planning:1 | best exposure:1 | exposure program:1,small:2 | professional:2 | personal:2 | practice:2 | such:1 | rural:1 | community:1 | agency:1 | relationships:1 | intertwined:1 | wouldn:1 | change:1 | world:1 | tread:1 | relationship:1 | staff:1 | members:1 | went:1 | paperwork:1 | instead:1,such small:1 | small rural:1 | rural community:1 | community agency:1 | agency small:1 | small professional:1 | professional personal:1 | personal relationships:1 | relationships intertwined:1 | intertwined wouldn:1 | wouldn change:1 | change world:1 | world tread:1 | tread personal:1 | personal professional:1,3.0,3.5,3.5,3.25,3.5,4.0,3.5,3.5,3.25,3.5,3.25,3.5,3.5,3.75,0.4109,0.1472,0.4889,89.58,87.34,88.63,86.83,89.77,88.21,93.12,89.79,88.63
thrive,Thrive,6,sufficient,3.5,4.6,improving,22.8,0.5,0.2531,91.48,1,no flag,no flag,0.7473,-0.2638,50.0,0.0,0.0,33.3,33.3,33.3,0.0,16.7,50.0,16.7,16.7,0.0,meetings:3 | appreciated:2 | included:2 | planning:2 | instead:2 | observing:2 | honestly:2 | stakeholder:2 | support:2 | practicum:2 | supervision:2 | chart:1 | review:1 | discharge:1 | meaningful:1 | learn:1 | advocacy:1 | policy:1 | research:1 | debrief:1,appreciated included:2 | stakeholder meetings:2 | included chart:1 | chart review:1 | review discharge:1 | discharge planning:1 | planning instead:1 | observing meaningful:1 | honestly learn:1 | learn stakeholder:1 | meetings advocacy:1 | advocacy planning:1 | planning policy:1 | policy research:1 | research debrief:1,practice:3 | instead:3 | wanted:2 | direct:2 | mostly:2 | observation:2 | practicum:2 | hard:1 | grow:1 | structure:1 | loose:1 | frustration:1 | went:1 | paperwork:1 | actual:1 | finding:1 | portion:1 | unhelpful:1 | shadowing:1 | needed:1,wanted direct:2 | direct practice:2 | practice instead:2 | instead mostly:2 | mostly observation:2 | observation hard:1 | hard grow:1 | grow structure:1 | structure loose:1 | frustration went:1 | went paperwork:1 | paperwork instead:1 | instead actual:1 | actual practice:1 | finding portion:1,3.33,4.0,4.0,3.5,3.83,3.83,3.67,3.33,3.0,3.33,3.5,3.17,3.83,3.67,0.333,0.2485,0.2006,89.72,93.57,90.35,90.95,90.36,92.6,94.05,90.63,91.07
ywca,Ywca,41,sufficient,3.5,3.46,stable,22.7,0.66,0.2874,89.35,1,no flag,no flag,0.5144,-0.0843,29.3,18.4,22.0,26.3,9.8,21.1,9.8,18.4,36.6,26.3,31.7,5.3,work:15 | practice:13 | help:9 | biggest:8 | learning:8 | helped:8 | support:7 | appreciated:7 | supervision:7 | planning:6 | better:6 | policy:6 | exposure:5 | direct:5 | meetings:5 | clients:5 | social:5 | opportunity:5 | see:5 | understand:5,helped understand:5 | direct practice:4 | close helped:4 | understand policy:4 | policy practice:4 | practice better:4 | learning agreement:4 | agreement less:4 | less abstract:4 | help included:3 | appreciated see:3 | real exposure:3 | help work:2 | connect class:2 | class content:2,practice:9 | frustration:8 | work:7 | direct:7 | enough:5 | hands:5 | having:4 | supervisor:4 | needed:4 | skills:4 | supervision:4 | practicum:4 | racism:4 | staff:4 | clinical:4 | admin:3 | observation:3 | supervisors:3 | shadowing:3 | chances:3,direct practice:4 | admin work:3 | shadowing needed:3 | frustration shadowing:2 | workflow changed:2 | changed quickly:2 | quickly planning:2 | planning harder:2 | weeks observational:2 | observational than:2 | than active:2 | direct service:2 | service staff:2 | mental health:2 | hard grow:2,3.54,3.63,3.85,3.46,3.41,3.24,3.76,3.37,3.34,3.17,3.68,3.41,3.73,3.51,0.2187,0.3334,0.4546,89.13,90.59,87.69,89.09,87.72,89.79,91.77,88.63,89.77
aspen counseling services,Aspen Counseling Services,13,sufficient,3.51,1.9,declining,25.3,0.54,0.2284,91.39,1,no flag,no flag,0.3511,0.0163,23.1,8.3,38.5,16.7,7.7,33.3,15.4,16.7,76.9,33.3,7.7,0.0,learning:7 | clients:5 | helped:4 | tasks:4 | crisis:3 | support:3 | agreement:3 | practice:3 | clearer:3 | than:2 | seeing:2 | biggest:2 | help:2 | work:2 | resource:2 | case:2 | management:2 | less:2 | abstract:2 | client:2,learning agreement:3 | case management:2 | agreement less:2 | less abstract:2 | site learned:2 | direct practice:2 | wanted defined:2 | defined tasks:2 | tasks clearer:2 | clearer learning:2 | learning goals:2 | parts placement:1 | placement role:1 | role broader:1 | broader than:1,skills:4 | practice:3 | shadowing:3 | needed:3 | chances:3 | try:3 | scheduling:2 | difficult:2 | times:2 | wanted:2 | hardest:2 | therapists:2 | opportunities:2 | frustration:2 | able:1 | observe:1 | therapist:1 | sessions:1 | little:1 | independent:1,shadowing needed:3 | scheduling difficult:2 | difficult times:2 | able observe:1 | observe therapist:1 | therapist sessions:1 | sessions wanted:1 | hardest wanted:1 | wanted little:1 | little independent:1 | independent practice:1 | agency quarterly:1 | quarterly meetings:1 | meetings therapists:1 | therapists practicum:1,3.23,3.54,3.38,3.23,3.31,3.0,3.69,3.15,3.08,3.62,3.15,3.23,3.92,3.62,0.0921,0.4269,0.2556,87.71,91.34,93.79,92.5,92.05,89.92,93.21,92.62,89.37
families first learning lab,Families First Learning Lab,21,sufficient,3.52,3.23,stable,23.0,0.57,0.2865,89.62,1,no flag,no flag,0.3797,-0.0307,47.6,11.1,42.9,33.3,9.5,33.3,19.0,16.7,61.9,38.9,23.8,5.6,work:11 | practice:8 | feedback:6 | helped:5 | community:4 | outreach:4 | skills:4 | connect:3 | class:3 | content:3 | intervention:3 | social:3 | wanted:3 | supervision:3 | case:3 | management:3 | direct:3 | planning:3 | sessions:3 | appreciated:2,connect class:3 | class content:3 | content practice:3 | social work:3 | case management:3 | direct practice:3 | assessments connect:2 | see assessment:2 | unclear role:2 | role long:2 | long wanted:2 | wanted feedback:2 | feedback direct:2 | practice skills:2 | exposure community:2,contact:4 | instead:4 | practice:4 | hardest:3 | needed:3 | client:3 | fewer:3 | tasks:3 | skills:3 | educational:3 | wanted:3 | office:2 | went:2 | paperwork:2 | actual:2 | practicum:2 | based:2 | work:2 | supervision:2 | times:2,client contact:3 | contact fewer:2 | fewer office:2 | office tasks:2 | went paperwork:2 | paperwork instead:2 | instead actual:2 | actual practice:2 | limited opportunities:2 | opportunities apply:2 | apply skills:2 | skills directly:2 | wanted direct:2 | direct practice:2 | practice instead:2,3.71,3.48,3.62,3.67,3.52,3.57,3.52,3.43,3.43,3.48,3.62,3.38,3.76,3.38,0.3193,0.401,0.3634,88.46,91.26,90.73,89.5,88.7,88.92,91.6,89.69,87.7
juvenile probation,Juvenile Probation,5,sufficient,3.52,4.0,improving,22.6,0.6,0.3021,90.74,1,no flag,no flag,0.5161,0.0536,0.0,0.0,0.0,40.0,0.0,20.0,20.0,0.0,40.0,20.0,20.0,20.0,practice:3 | work:3 | helped:3 | family:2 | appreciated:1 | clients:1 | tasks:1 | care:1 | navigation:1 | health:1 | fairs:1 | taught:1 | than:1 | structure:1 | research:1 | showed:1 | social:1 | knowledge:1 | inform:1 | policy:1,appreciated clients:1 | clients tasks:1 | tasks care:1 | care navigation:1 | navigation health:1 | health fairs:1 | fairs taught:1 | taught than:1 | than structure:1 | research practice:1 | practice showed:1 | showed social:1 | social work:1 | work knowledge:1 | knowledge inform:1,practice:2 | admin:1 | work:1 | enough:1 | hands:1 | learned:1 | liked:1 | direct:1 | clients:1 | times:1 | travel:1 | frustration:1 | weeks:1 | observational:1 | than:1 | active:1 | nothing:1 | think:1 | learn:1 | every:1,admin work:1 | learned liked:1 | liked direct:1 | direct practice:1 | practice clients:1 | times travel:1 | frustration weeks:1 | weeks observational:1 | observational than:1 | than active:1 | nothing think:1 | think learn:1 | learn every:1 | every opportunities:1 | opportunities speak:1,4.0,4.0,3.6,3.6,4.0,3.8,3.8,3.6,4.0,3.2,4.0,3.4,3.6,3.4,0.1566,0.4595,0.3246,86.83,92.57,92.73,92.83,90.1,89.54,90.61,91.74,89.69
many rivers whole health,Many Rivers Whole Health,12,sufficient,3.53,3.35,stable,27.7,0.58,0.2976,90.06,1,no flag,no flag,0.4338,-0.1342,33.3,16.7,25.0,8.3,0.0,25.0,16.7,16.7,33.3,16.7,8.3,0.0,work:5 | systems:4 | clients:4 | experience:3 | learned:2 | intakes:2 | supervision:2 | people:2 | learn:2 | coordination:2 | debrief:2 | see:2 | practicum:2 | biggest:2 | help:2 | exposure:2 | case:2 | management:2 | gave:2 | better:2,case management:2 | better sense:2 | learned intakes:1 | intakes structure:1 | structure uneven:1 | uneven times:1 | supervision consistent:1 | strong supervision:1 | supervision preble:1 | engaged people:1 | people field:1 | field distance:1 | distance learning:1 | learning isolating:1 | isolating connecting:1,agency:5 | experience:2 | fewer:2 | tasks:2 | needed:2 | than:2 | shadowing:2 | depended:1 | week:1 | available:1 | slow:1 | periods:1 | rivers:1 | whole:1 | health:1 | struggling:1 | various:1 | reasons:1 | say:1 | educational:1,experience depended:1 | depended week:1 | week available:1 | slow periods:1 | periods fewer:1 | fewer tasks:1 | rivers whole:1 | whole health:1 | health struggling:1 | struggling agency:1 | agency various:1 | various reasons:1 | reasons say:1 | say educational:1 | educational watch:1,3.75,3.75,4.0,3.42,3.75,3.17,3.92,3.83,3.58,3.42,3.58,3.33,3.75,3.58,0.2628,0.5883,0.3373,89.01,91.71,89.32,89.8,89.19,90.34,92.68,88.28,90.2
paxson elementary school,Paxson Elementary School,13,sufficient,3.54,3.35,stable,24.8,0.62,0.2167,89.53,1,no flag,no flag,0.5789,-0.1551,30.8,0.0,15.4,38.5,15.4,38.5,7.7,7.7,38.5,15.4,30.8,0.0,work:6 | documentation:5 | practice:5 | advocacy:3 | planning:3 | great:2 | social:2 | included:2 | community:2 | instead:2 | observing:2 | appreciated:2 | resource:2 | given:2 | opportunity:2 | learn:2 | debrief:2 | pushed:2 | confidence:2 | connect:2,planning community:2 | opportunity work:2 | connect class:2 | class content:2 | content practice:2 | educational practicum:1 | practicum agency:1 | agency completing:1 | completing projects:1 | projects wanted:1 | wanted without:1 | without challenges:1 | challenges forced:1 | forced work:1 | work roadblocks:1,work:5 | practice:5 | admin:3 | enough:3 | hands:3 | hardest:3 | fewer:3 | tasks:2 | educational:1 | practicum:1 | clients:1 | gain:1 | experience:1 | social:1 | slowed:1 | down:1 | learning:1 | school:1 | midst:1 | transition:1,admin work:3 | educational practicum:1 | practicum work:1 | work clients:1 | clients gain:1 | gain experience:1 | experience social:1 | social work:1 | practice slowed:1 | slowed down:1 | down learning:1 | hardest admin:1 | school midst:1 | midst transition:1 | transition wasn:1,3.38,3.38,3.69,3.31,3.23,3.31,3.23,3.38,3.46,2.85,3.54,3.54,4.08,3.69,0.074,0.3199,0.2659,89.0,90.65,90.27,88.72,88.03,90.44,91.06,88.63,89.02
acenda integrated health,Acenda Integrated Health,4,sufficient,3.55,,stable,14.8,0.75,0.2456,88.9,1,no flag,no flag,0.2484,0.0,25.0,25.0,0.0,0.0,0.0,25.0,50.0,0.0,50.0,25.0,25.0,0.0,planning:2 | experience:2 | assessment:2 | learned:1 | safety:1 | structure:1 | uneven:1 | times:1 | field:1 | study:1 | gained:1 | outreach:1 | advocacy:1 | relationship:1 | building:1 | wanted:1 | guidance:1 | discharge:1 | gave:1 | structured:1,learned safety:1 | safety planning:1 | planning structure:1 | structure uneven:1 | uneven times:1 | field study:1 | gained experience:1 | experience outreach:1 | outreach advocacy:1 | advocacy relationship:1 | relationship building:1 | building wanted:1 | wanted guidance:1 | discharge planning:1 | planning gave:1,shadowing:1 | than:1 | doing:1 | working:1 | less:1 | money:1 | enough:1 | guidance:1 | practicum:1 | student:1 | brief:1 | contact:1 | educational:1 | wanted:1 | continuity:1 | clients:1,shadowing than:1 | than doing:1 | working less:1 | less money:1 | enough guidance:1 | guidance practicum:1 | practicum student:1 | brief contact:1 | contact educational:1 | educational wanted:1 | wanted continuity:1 | continuity clients:1,3.0,3.25,3.5,3.25,3.0,3.75,3.5,3.5,4.0,3.25,3.5,4.25,3.75,3.0,0.1896,0.4404,0.3496,87.56,89.53,91.24,90.31,86.46,90.21,91.76,85.14,87.86
women's resource center,Women's Resource Center,9,sufficient,3.55,4.27,improving,26.0,0.56,0.1991,89.94,1,no flag,no flag,0.4626,-0.0924,33.3,11.1,44.4,11.1,11.1,22.2,33.3,22.2,44.4,33.3,0.0,0.0,clients:3 | support:3 | role:2 | learning:2 | weeks:2 | learned:2 | real:2 | helped:2 | tasks:2 | direct:2 | practice:2 | found:1 | practicum:1 | first:1 | interacted:1 | lowest:1 | moments:1 | knowing:1 | next:1 | beneficial:1,direct practice:2 | found practicum:1 | practicum first:1 | first interacted:1 | interacted clients:1 | clients lowest:1 | lowest moments:1 | moments knowing:1 | knowing next:1 | next beneficial:1 | beneficial continuously:1 | continuously engage:1 | engage problem:1 | problem solving:1 | solving process:1,process:2 | times:2 | limited:2 | educational:2 | skills:2 | found:1 | organization:1 | don:1 | solid:1 | answer:1 | onboarding:1 | clearer:1 | administration:1 | understanding:1 | use:1 | social:1 | worker:1 | expectations:1 | clear:1 | wanted:1,found organization:1 | organization don:1 | don solid:1 | solid answer:1 | onboarding process:1 | process clearer:1 | administration understanding:1 | understanding use:1 | use social:1 | social worker:1 | times expectations:1 | expectations clear:1 | wanted direct:1 | direct practice:1 | practice instead:1,3.22,3.78,3.44,3.33,3.33,3.33,3.78,3.11,3.0,3.22,3.78,3.44,3.44,3.89,0.1216,0.4656,0.038,92.48,90.44,88.45,86.92,89.91,92.2,93.53,86.64,88.92
international rescue committee,International Rescue Committee,40,sufficient,3.57,2.83,declining,23.6,0.62,0.2713,89.75,1,no flag,no flag,0.4614,-0.0621,22.5,11.4,37.5,14.3,7.5,31.4,12.5,11.4,45.0,25.7,17.5,0.0,helped:14 | work:13 | learning:12 | practice:9 | clients:8 | exposure:6 | planning:6 | build:6 | case:6 | working:6 | appreciated:6 | community:5 | confidence:5 | biggest:5 | help:5 | support:5 | real:5 | management:5 | experience:5 | gave:4,build confidence:5 | case management:5 | helped build:4 | connect class:4 | class content:4 | content practice:4 | helped work:3 | program evaluation:3 | help work:3 | real exposure:3 | group facilitation:3 | helped understand:3 | honestly helped:2 | work program:2 | work resource:2,needed:7 | practice:7 | clients:6 | than:6 | tasks:6 | work:5 | communication:5 | instead:5 | office:5 | learning:5 | out:4 | shadowing:4 | doing:4 | wanted:4 | mostly:4 | agency:4 | due:3 | educational:3 | opportunities:3 | chances:3,shadowing needed:3 | wanted direct:3 | direct practice:3 | practice instead:3 | instead mostly:3 | mostly observation:3 | went paperwork:2 | paperwork instead:2 | instead actual:2 | actual practice:2 | practicum reactive:2 | reactive than:2 | than educational:2 | learning opportunities:2 | communication gaps:2,3.65,3.78,3.68,3.92,3.7,3.65,3.98,3.68,3.25,3.52,3.82,3.48,3.55,3.5,0.2466,0.3501,0.3604,88.35,90.29,90.62,90.41,89.1,89.48,90.94,89.78,88.82
montana 10,Montana 10,22,sufficient,3.57,3.37,stable,23.8,0.68,0.3089,89.72,1,no flag,no flag,0.5218,0.0692,40.9,14.3,13.6,28.6,9.1,28.6,9.1,14.3,31.8,23.8,36.4,4.8,work:9 | helped:6 | community:6 | supervision:5 | instead:4 | learn:4 | resource:4 | support:4 | appreciated:3 | meetings:3 | coordination:3 | environment:3 | allowed:3 | students:3 | learning:3 | referrals:3 | biggest:3 | help:3 | tasks:3 | social:3,shift huddles:2 | huddles instead:2 | instead doing:2 | doing support:2 | support tasks:2 | resource referrals:2 | getting work:2 | appreciated included:1 | included partnership:1 | partnership meetings:1 | meetings health:1 | health fairs:1 | fairs instead:1 | understand programs:1 | programs run:1,needed:5 | hardest:4 | fewer:4 | tasks:4 | experience:4 | enough:3 | practice:3 | weeks:3 | opportunities:3 | skills:3 | frustration:3 | client:3 | contact:3 | office:3 | hands:2 | wanted:2 | than:2 | changes:2 | practicum:2 | onboarding:2,client contact:3 | contact fewer:3 | fewer office:3 | office tasks:3 | shadowing needed:2 | frustration needed:2 | admin work:1 | times expectations:1 | expectations clear:1 | wanted direct:1 | direct practice:1 | practice instead:1 | instead mostly:1 | mostly observation:1 | hardest weeks:1,3.41,3.68,3.82,3.59,3.55,3.45,3.55,3.5,3.36,3.32,3.32,3.59,4.0,3.64,0.3076,0.1829,0.4628,87.84,90.87,90.61,90.75,87.5,90.07,91.34,89.5,88.98
